Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
dotcom,Failure,31,21,2015-05-06 10:11:04 +0100,2015-05-07 09:29:10 +0100,0:02:09
scroll_list,Failure,1,1,2015-05-07 09:43:22 +0100,2015-05-07 09:43:22 +0100,0:00:00
